Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
2001,Oct,10,2001-10-01,25.8753125,16.7754375,23.48395,28.986199999999997,23.780225
2001,Nov,11,2001-11-01,33.599625,26.150424999999995,32.414525,43.37669999999999,33.885318749999996
2001,Dec,12,2001-12-01,38.890249999999995,30.037270833333338,38.340025000000004,44.3925,37.91501145833334
2002,Jan,1,2002-01-01,37.832125,26.369104166666663,27.081574999999997,43.37669999999999,33.664876041666666
2002,Feb,2,2002-02-01,26.19275,19.91454166666667,26.023449999999997,31.483374999999995,25.903529166666665
2002,Mar,3,2002-03-01,33.4938125,31.553916666666666,30.340600000000002,45.789225,35.29438854166666
2002,Apr,4,2002-04-01,62.59225,34.2345,51.3338,70.05203125,54.5531453125
2002,May,5,2002-05-01,49.683125,80.86254166666666,89.68024999999999,90.569075,77.69874791666666
2002,Jun,6,2002-06-01,80.8978125,53.87329999999999,74.18930000000002,74.57022500000001,70.882659375
2002,Jul,7,2002-07-01,53.915625,51.884024999999994,72.20002500000001,59.15334375,59.2882546875
2002,Aug,8,2002-08-01,55.9260625,36.38602083333333,54.3812,43.45530357142858,47.53714672619048
2002,Sep,9,2002-09-01,55.39699999999999,27.335524999999997,52.349599999999995,34.022875,42.27624999999999
2002,Oct,10,2002-10-01,44.2866875,23.356975,29.451775000000005,36.774,33.467359375
2002,Nov,11,2002-11-01,59.312062499999996,45.450625,42.487874999999995,75.1839375,55.608625
2002,Dec,12,2002-12-01,64.8143125,67.45962499999999,83.20452499999999,100.97573437500002,79.11354921875
2003,Jan,1,2003-01-01,69.2584375,65.89359999999999,56.963024999999995,92.140390625,71.06386328125
2003,Feb,2,2003-02-01,87.564,50.148700000000005,67.121025,68.914546875,68.43706796875
2003,Mar,3,2003-03-01,59.62949999999999,29.24015,60.6453,33.097015625000004,45.65299140625
2003,Apr,4,2003-04-01,103.85912499999999,26.912275,57.724875,47.56687499999999,59.015787499999995
2003,May,5,2003-05-01,66.9305625,70.38005,65.97824999999999,86.05617187499999,72.33625859374999
2003,Jun,6,2003-06-01,116.66243750000001,82.52732499999999,91.838825,98.54204687500001,97.39265859375001
